[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	7/9/2025 8:51:42 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	DI	Untitled					-2.460	-0.1139	mg/L	0	2/4/2025 10:34:33 AM	
Unknown	NPOC/TN	DI	Untitled					-3.273	-0.1273	mg/L	0	2/4/2025 11:00:22 AM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					46.27	2.003	mg/L	1	2/4/2025 11:28:39 AM	
Unknown	NPOC/TN	DI	Untitled					-3.472	-0.1261	mg/L	0	2/4/2025 11:52:14 AM	
Unknown	NPOC/TN	DI	Untitled					-3.656	-0.1180	mg/L	0	2/4/2025 12:15:52 PM	
Standard	NPOC	CalCurve_NPOC	Untitled					100.0		mg/L	2, 3, 4, 5, 6, 7, 8, 9	2/4/2025 3:06:41 PM	
Unknown	NPOC/TN	DI	Untitled					-4.382	-0.1456	mg/L	0	2/4/2025 5:09:40 PM	
Standard	TN	CalCurve_TN	Untitled						3.000	mg/L	10, 11, 12, 13, 14, 15, 16	2/4/2025 7:38:19 PM	
Unknown	NPOC/TN	DI	Untitled					-0.6879	0.1618	mg/L	0	2/4/2025 8:00:55 PM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					49.01	1.794	mg/L	17	2/4/2025 8:18:58 PM	
Unknown	NPOC/TN	DI	Untitled					-0.7660	0.1123	mg/L	0	2/4/2025 8:42:09 PM	
Unknown	NPOC/TN	TMP_CTRL_B4_20250131	Untitled					31.35	0.9852	mg/L	18	2/4/2025 9:12:13 PM	
Unknown	NPOC/TN	TMP_CTRL_C3_20250131	Untitled					30.54	0.6599	mg/L	19	2/4/2025 9:42:02 PM	
Unknown	NPOC/TN	TMP_CTRL_D5_20250131	Untitled					21.09	0.5605	mg/L	20	2/4/2025 10:00:23 PM	
Unknown	NPOC/TN	TMP_CTRL_E3_20250131	Untitled					25.90	0.7722	mg/L	21	2/4/2025 10:29:44 PM	
Unknown	NPOC/TN	TMP_CTRL_H6_20250131	Untitled					36.77	1.233	mg/L	22	2/4/2025 10:58:13 PM	
Unknown	NPOC/TN	TMP_CTRL_I5_20250131	Untitled					16.82	0.5264	mg/L	23	2/4/2025 11:26:31 PM	
Unknown	NPOC/TN	DI	Untitled					-0.9247	0.1257	mg/L	0	2/4/2025 11:49:09 PM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					47.74	1.752	mg/L	24	2/5/2025 12:17:09 AM	
Unknown	NPOC/TN	DI	Untitled					-0.8707	0.1416	mg/L	0	2/5/2025 12:39:57 AM	
Unknown	NPOC/TN	TMP_FW_C3_20250131	Untitled					23.94	0.8356	mg/L	25	2/5/2025 1:09:38 AM	
Unknown	NPOC/TN	TMP_FW_C6_20250131	Untitled					14.64	0.6110	mg/L	26	2/5/2025 1:38:03 AM	
Unknown	NPOC/TN	TMP_FW_D5_20250131	Untitled					21.37	0.8061	mg/L	27	2/5/2025 2:06:34 AM	
Unknown	NPOC/TN	TMP_FW_H3_20250131	Untitled					15.27	0.5781	mg/L	28	2/5/2025 2:34:41 AM	
Unknown	NPOC/TN	TMP_FW_I5_20250131	Untitled					32.94	1.094	mg/L	29	2/5/2025 3:04:02 AM	
Unknown	NPOC/TN	TMP_FW_I5_20250131_dup	Untitled					32.70	1.030	mg/L	30	2/5/2025 3:22:11 AM	
Unknown	NPOC/TN	DI	Untitled					-0.9151	0.1390	mg/L	0	2/5/2025 3:49:10 AM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					49.22	1.747	mg/L	31	2/5/2025 4:16:23 AM	
Unknown	NPOC/TN	DI	Untitled					-1.061	0.1385	mg/L	0	2/5/2025 4:41:49 AM	
Unknown	NPOC/TN	TMP_SW_B4_20250131	Untitled					53.78	1.417	mg/L	32	2/5/2025 5:10:42 AM	
Unknown	NPOC/TN	TMP_SW_C3_20250131	Untitled					51.30	1.410	mg/L	33	2/5/2025 5:40:20 AM	
Unknown	NPOC/TN	TMP_SW_E3_20250131	Untitled					11.99	0.7017	mg/L	34	2/5/2025 6:07:29 AM	
Unknown	NPOC/TN	TMP_SW_F4_20250131	Untitled					60.74	2.508	mg/L	35	2/5/2025 6:32:37 AM	
Unknown	NPOC/TN	TMP_SW_F6_20250131	Untitled					30.94	1.255	mg/L	36	2/5/2025 7:00:52 AM	
Unknown	NPOC/TN	TMP_SW_H6_20250131	Untitled					55.88	1.829	mg/L	37	2/5/2025 7:20:40 AM	
Unknown	NPOC/TN	DI	Untitled					-0.9978	0.1123	mg/L	0	2/5/2025 7:45:34 AM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					48.99	1.752	mg/L	38	2/5/2025 8:03:49 AM	
Unknown	NPOC/TN	DI	Untitled					-1.030	0.1172	mg/L	0	2/5/2025 8:27:30 AM	
Unknown	NPOC/TN	TMP_CTRL_B4_20250204	Untitled					27.65	0.8189	mg/L	39	2/5/2025 8:57:20 AM	
Unknown	NPOC/TN	TMP_CTRL_C3_20250204	Untitled					29.65	0.6686	mg/L	40	2/5/2025 9:26:06 AM	
Unknown	NPOC/TN	TMP_CTRL_C3_20250204_dup	Untitled					29.58	0.6190	mg/L	41	2/5/2025 9:55:28 AM	
Unknown	NPOC/TN	TMP_CTRL_C6_20250204	Untitled					20.61	0.5474	mg/L	42	2/5/2025 10:23:07 AM	
Unknown	NPOC/TN	TMP_CTRL_D5_20250204	Untitled					20.73	0.5411	mg/L	43	2/5/2025 10:51:20 AM	
Unknown	NPOC/TN	TMP_CTRL_E3_20250204	Untitled					28.82	0.7374	mg/L	44	2/5/2025 11:20:45 AM	
