Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.567	0.4016	6.33	0.3637	2.48
6	Standard 2	Calibration Standard	4.567	0.9035	6.85	0.8181	5.4
7	Standard 3	Calibration Standard	4.56	1.8837	7.06	1.7057	10.9
8	Standard 4	Calibration Standard	4.517	9.9598	7.24	9.0188	53.26
9	Standard 5	Calibration Standard	4.483	20.039	7.26	18.1457	98.86
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	1_TEMPEST_C_H6_20240607_15cm	Unknown	4.563	0.1648	0.03	0.003	0.02
13	2_TEMPEST_C_H3_20240607_15cm	Unknown	4.38	0.1768	0.04	0.0032	0.01
14	3_TEMPEST_FW_D5_20240607_15cm	Unknown	4.567	0.2565	0.05	0.0046	0.03
15	4_TEMPEST_FW_C6_20240607_15cm	Unknown	4.44	16.1069	3.39	0.2917	0
16	5_TEMPEST_FW_H6_20240607_15cm	Unknown	4.577	1.4251	0.3	0.0258	0.16
17	6_TEMPEST_FW_I5_20240607_15cm	Unknown	4.593	0.0066	0	0.0001	0
18	7_TEMPEST_SW_H3_20240607_15cm	Unknown	4.453	15.7443	3.38	0.2851	0
19	8_TEMPEST_SW_B4_20240607_15cm	Unknown	4.58	2.1851	0.37	0.0396	0.22
20	9_TEMPEST_C_H6_20240610_15cm	Unknown	4.567	0.1429	0.03	0.0026	0.02
21	10_TEMPEST_FW_D5_20240610_15cm_T-0	Unknown	4.56	0.257	0.05	0.0047	0.02
22	10_TEMPEST_FW_D5_20240610_15cm_T-0_DUP	Unknown	4.56	0.0612	0.01	0.0011	0.02
23	11_TEMPEST_FW_I5_20240610_15cm_T-0	Unknown	4.49	0.062	0.01	0.0011	0
24	11_TEMPEST_FW_I5_20240610_15cm_T-0_SPK	Spiked	4.35	15.1825	2.86	0.275	0
25	Standard 1	Check Standard	4.573	0.4105	6.53	0.3717	2.5
26	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
27	12_TEMPEST_FW_C6_20240610_15cm_T-0	Unknown	4.56	0.1983	0.04	0.0036	0.02
28	13_TEMPEST_FW_I5_20240611_15cm_T-1	Unknown	4.577	4.2175	0.76	0.0764	0.47
29	14_TEMPEST_FW_F4_20240611_15cm_T-1	Unknown	4.4	14.9095	3.26	0.27	0
30	15_TEMPEST_FW_D5_20240611_15cm_T-1	Unknown	4.393	13.5064	2.86	0.2446	0
31	16_TEMPEST_FW_C3_20240611_15cm_T-1	Unknown	4.58	5.1051	0.99	0.0925	0.57
32	17_TEMPEST_FW_C6_20240611_15cm_T-1	Unknown	4.577	4.4799	1.02	0.0811	0.5
33	18_TEMPEST_SW_B4_20240611_15cm_T-1	Unknown	4.547	234.7485	7.58	4.2514	26.17
34	19_TEMPEST_SW_F6_20240611_15cm_T-1	Unknown	4.57	25.1581	3.28	0.4556	2.99
35	20_TEMPEST_FW_I5_20240612_15cm_T-2	Unknown	4.577	5.893	0.99	0.1067	0.67
36	20_TEMPEST_FW_I5_20240612_15cm_T-2_DUP	Unknown	4.58	5.9735	1	0.1082	0.67
37	21_TEMPEST_FW_C6_20240612_15cm_T-2	Unknown	4.577	6.7982	1.2	0.1231	0.77
38	21_TEMPEST_FW_C6_20240612_15cm_T-2_SPK	Spiked	4.56	102.1222	15.51	1.8495	11.66
39	Standard 2	Check Standard	4.57	0.9039	6.96	0.8185	5.37
40	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
41	22_TEMPEST_FW_H3_20240612_15cm_T-2	Unknown	4.4	12.438	2.65	0.2253	0
42	23_TEMPEST_FW_H6_20240612_15cm_T-2	Unknown	4.577	5.0885	1.1	0.0922	0.59
43	24_TEMPEST_FW_F4_20240612_15cm_T-2	Unknown	4.393	15.9163	3.37	0.2882	0
44	25_TEMPEST_FW_D5_20240612_15cm_T-2	Unknown	4.39	15.6411	3.26	0.2833	0
45	26_TEMPEST_FW_C3_20240612_15cm_T-2	Unknown	4.58	6.9194	1.32	0.1253	0.8
46	27_TEMPEST_FW_E3_20240612_15cm_T-2	Unknown	4.577	1.8724	0.36	0.0339	0.22
47	28_TEMPEST_SW_F6_20240612_15cm_T-2	Unknown	4.557	142.0218	5.08	2.5721	16.11
48	29_TEMPEST_SW_C3_20240612_15cm_T-2	Unknown	4.547	226.9674	6.97	4.1105	25.37
49	30_TEMPEST_SW_H6_20240612_15cm_T-2	Unknown	4.557	157.5426	7.12	2.8532	17.84
50	30_TEMPEST_SW_H6_20240612_15cm_T-2_DUP	Unknown	4.56	156.587	7.12	2.8358	17.73
51	31_TEMPEST_SW_D5_20240612_15cm_T-2	Unknown	4.56	123.2739	6.38	2.2325	14.03
52	31_TEMPEST_SW_D5_20240612_15cm_T-2_SPK	Spiked	4.55	211.568	10.55	3.8316	23.73
53	Standard 3	Check Standard	4.563	1.8965	7.01	1.7174	10.94
54	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
