"","slope","intercept","run_date","analyte","curve","r2"
"1",4.35587146940922,-0.393747984504742,NA,"C","NPOC (mg/L)",0.999657088167627
"2",4.56357712646475,0.906238124138334,NA,"C","NPOC (mg/L)",0.999863699512043
"3",4.50910650252922,0.252280890818384,NA,"C","NPOC (mg/L)",0.999710142760383
"4",4.78333966101695,0.214523728813559,NA,"N","TN (mg/L)",0.339888844677649
"5",-0.2562,0.9305,NA,"N","TN (mg/L)",-0.142733342009846
"6",8.07690478229836,0.892880585296219,NA,"N","TN (mg/L)",0.494236639844466
"7",0.270899500356888,1.57199232690935,NA,"N","TN (mg/L)",-0.0463417216293251
"8",4.84496690186473,0.649957336293104,NA,"C","NPOC (mg/L)",0.999635208516512
"9",8.09494932191292,-0.214787794432546,NA,"N","TN (mg/L)",0.995372783240579
"10",4.84496690186473,0.649957336293104,NA,"C","NPOC (mg/L)",0.999635208516512
"11",8.09494932191292,-0.214787794432546,NA,"N","TN (mg/L)",0.995372783240579
"12",4.84496690186473,0.649957336293104,NA,"C","NPOC (mg/L)",0.999635208516512
"13",8.09494932191292,-0.214787794432546,NA,"N","TN (mg/L)",0.995372783240579
"14",4.84496690186473,0.649957336293104,2024-09-05,"C","NPOC (mg/L)",0.999635208516512
"15",8.09494932191292,-0.214787794432546,2024-09-05,"N","TN (mg/L)",0.995372783240579
