[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	4/29/2025 5:10:24 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	CondBlank	Untitled					0.4607	0.07156	mg/L	0	9/9/2024 11:13:37 AM	
Unknown	NPOC/TN	CondBlank	Untitled					0.3938	0.1515	mg/L	0	9/9/2024 11:37:00 AM	
Unknown	NPOC/TN	Blank	Untitled					0.4223	0.05649	mg/L	0	9/9/2024 12:02:40 PM	
Unknown	NPOC/TN	1ppmCN_Check	Untitled					1.187	0.8454	mg/L	1	9/9/2024 12:34:52 PM	
Unknown	NPOC/TN	Blank	Untitled					0.4238	0.04998	mg/L	0	9/9/2024 12:59:57 PM	
Unknown	NPOC/TN	50ppmC_2ppmN_Check	Untitled					48.41	1.993	mg/L	2	9/9/2024 1:31:37 PM	
Unknown	NPOC/TN	Blank	Untitled					0.4909	0.1279	mg/L	0	9/9/2024 1:54:20 PM	
Standard	NPOC	STD_0-100ppmNPOC	Untitled					100.0		mg/L	0, 3, 4, 5, 6, 7, 8, 9, 10	9/9/2024 5:11:21 PM	
Unknown	NPOC/TN	Blank	Untitled					0.3881	0.08943	mg/L	0	9/9/2024 6:11:39 PM	
Standard	TN	STD_0-3ppmTN	Untitled						3.000	mg/L	0, 11, 12, 13, 14, 15, 16	9/9/2024 9:18:22 PM	
Unknown	NPOC/TN	Blank	Untitled					0.3153	0.04204	mg/L	0	9/9/2024 9:43:52 PM	
Unknown	NPOC/TN	1ppmCN_Check	Untitled					1.136	0.9415	mg/L	17	9/9/2024 10:13:38 PM	
Unknown	NPOC/TN	Blank	Untitled					0.2726	0.05365	mg/L	0	9/9/2024 10:37:11 PM	
Unknown	NPOC/TN	50ppmC_2ppmN_Check	Untitled					48.74	2.200	mg/L	18	9/9/2024 10:59:11 PM	
Unknown	NPOC/TN	GENX2_40222	Untitled					51.56	3.037	mg/L	19	9/9/2024 11:31:08 PM	
Unknown	NPOC/TN	GENX2_40156	Untitled					45.56	3.137	mg/L	20	9/10/2024 12:15:11 AM	
