"","Project","Sample_ID","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","TMP","TMP_SW_B4_20240613_15CM_T5","SW","B4","15CM","T5","PM","PW",5,"20240613",12.7133437305053,"Within_Range","SO4 checks perc diff out of range",88.9739153737659,"Within_Range","",5.6995304171,"2025-08-18","All std 1's and one std 2 were lower than the expected concentration. 
  The 5th dup had a high CV for Cl
  One sample ID is missing from metadata: TMP_FW_D5_20240617_15CM 
  ",NA
"2","TMP","TMP_SW_I5_20240613_15CM_T5","SW","I5","15CM","T5","PM","PW",5,"20240613",10.8650748596382,"Within_Range","SO4 checks perc diff out of range",85.728287729196,"Within_Range","",5.4916215146,"2025-08-18","All std 1's and one std 2 were lower than the expected concentration. 
  The 5th dup had a high CV for Cl
  One sample ID is missing from metadata: TMP_FW_D5_20240617_15CM 
  ",NA
"3","TMP","TMP_FW_F4_20240613_15CM_T5","FW","F4","15CM","T5","PM","PW",5,"20240613",0.159557080474111,"Within_Range","SO4 checks perc diff out of range",0.128533145275035,"Within_Range","",0.0082595955,"2025-08-18","All std 1's and one std 2 were lower than the expected concentration. 
  The 5th dup had a high CV for Cl
  One sample ID is missing from metadata: TMP_FW_D5_20240617_15CM 
  ",NA
"4","TMP","TMP_FW_E3_20240613_15CM_T5","FW","E3","15CM","T5","PM","PW",5,"20240613",0.0696756082345602,"Within_Range","SO4 checks perc diff out of range",0.0821720733427362,"Within_Range","",0.005289791,"2025-08-18","All std 1's and one std 2 were lower than the expected concentration. 
  The 5th dup had a high CV for Cl
  One sample ID is missing from metadata: TMP_FW_D5_20240617_15CM 
  ",NA
"5","TMP","TMP_FW_C3_20240613_15CM_T5","FW","C3","15CM","T5","PM","PW",5,"20240613",0.224086088583905,"Within_Range","SO4 checks perc diff out of range",0.120657263751763,"Within_Range","",0.0077550811,"2025-08-18","All std 1's and one std 2 were lower than the expected concentration. 
  The 5th dup had a high CV for Cl
  One sample ID is missing from metadata: TMP_FW_D5_20240617_15CM 
  ",NA
"6","TMP","TMP_FW_D5_20240613_15CM_T5","FW","D5","15CM","T5","PM","PW",5,"20240613",0.182507797878977,"Within_Range","SO4 checks perc diff out of range",0.131923836389281,"Within_Range","",0.0084767969,"2025-08-18","All std 1's and one std 2 were lower than the expected concentration. 
  The 5th dup had a high CV for Cl
  One sample ID is missing from metadata: TMP_FW_D5_20240617_15CM 
  ",NA
"7","TMP","TMP_FW_F6_20240613_15CM_T5","FW","F6","15CM","T5","PM","PW",5,"20240613",0.183340611353712,"Within_Range","SO4 checks perc diff out of range",0.111314527503526,"Within_Range","",0.0071566027,"2025-08-18","All std 1's and one std 2 were lower than the expected concentration. 
  The 5th dup had a high CV for Cl
  One sample ID is missing from metadata: TMP_FW_D5_20240617_15CM 
  ",NA
"8","TMP","TMP_FW_I5_20240613_15CM_T5","FW","I5","15CM","T5","PM","PW",5,"20240613",0.198973799126638,"Within_Range","SO4 checks perc diff out of range",0.140076163610719,"Within_Range","",0.0089990199,"2025-08-18","All std 1's and one std 2 were lower than the expected concentration. 
  The 5th dup had a high CV for Cl
  One sample ID is missing from metadata: TMP_FW_D5_20240617_15CM 
  ",NA
"9","TMP","TMP_FW_H6_20240613_15CM_T5","FW","H6","15CM","T5","PM","PW",5,"20240613",0.167997504678727,"Within_Range","SO4 checks perc diff out of range",0.0896699576868829,"Within_Range","",0.0057700916,"2025-08-18","All std 1's and one std 2 were lower than the expected concentration. 
  The 5th dup had a high CV for Cl
  One sample ID is missing from metadata: TMP_FW_D5_20240617_15CM 
  ",NA
"10","TMP","TMP_FW_B4_20240613_15CM_T5","FW","B4","15CM","T5","PM","PW",5,"20240613",0.0653930131004367,"Within_Range","SO4 checks perc diff out of range",0.0646205923836389,"Within_Range","",0.0041654756,"2025-08-18","All std 1's and one std 2 were lower than the expected concentration. 
  The 5th dup had a high CV for Cl
  One sample ID is missing from metadata: TMP_FW_D5_20240617_15CM 
  ",NA
"11","TMP","TMP_FW_C6_20240613_15CM_T5","FW","C6","15CM","T5","PM","PW",5,"20240613",0.191344354335621,"Within_Range","SO4 checks perc diff out of range",0.150947813822285,"Within_Range","",0.0096954377,"2025-08-18","All std 1's and one std 2 were lower than the expected concentration. 
  The 5th dup had a high CV for Cl
  One sample ID is missing from metadata: TMP_FW_D5_20240617_15CM 
  ",NA
"12","TMP","TMP_FW_H3_20240613_15CM_T5","FW","H3","15CM","T5","PM","PW",5,"20240613",0.171690580162196,"Within_Range","SO4 checks perc diff out of range",0.11392101551481,"Within_Range","",0.0073235695,"2025-08-18","All std 1's and one std 2 were lower than the expected concentration. 
  The 5th dup had a high CV for Cl
  One sample ID is missing from metadata: TMP_FW_D5_20240617_15CM 
  ",NA
"13","TMP","TMP_SW_H6_20240614_15CM_T6","SW","H6","15CM","T6",NA,"PW",5,"20240614",9.40703680598877,"Within_Range","SO4 checks perc diff out of range",68.5835035260931,"Within_Range","",4.3933583564,"2025-08-18","All std 1's and one std 2 were lower than the expected concentration. 
  The 5th dup had a high CV for Cl
  One sample ID is missing from metadata: TMP_FW_D5_20240617_15CM 
  ",NA
"14","TMP","TMP_SW_C6_20240614_15CM_T6","SW","C6","15CM","T6",NA,"PW",5,"20240614",4.57288209606987,"Within_Range","SO4 checks perc diff out of range",48.1509506346967,"Within_Range","",3.0844868184,"2025-08-18","All std 1's and one std 2 were lower than the expected concentration. 
  The 5th dup had a high CV for Cl
  One sample ID is missing from metadata: TMP_FW_D5_20240617_15CM 
  ",NA
"15","TMP","TMP_SW_D5_20240614_15CM_T6","SW","D5","15CM","T6",NA,"PW",5,"20240614",7.08813162819713,"Within_Range","SO4 checks perc diff out of range",62.1223469675599,"Within_Range","",3.9794686204,"2025-08-18","All std 1's and one std 2 were lower than the expected concentration. 
  The 5th dup had a high CV for Cl
  One sample ID is missing from metadata: TMP_FW_D5_20240617_15CM 
  ",NA
"16","TMP","TMP_SW_B4_20240614_15CM_T6","SW","B4","15CM","T6",NA,"PW",5,"20240614",12.6969151590767,"Within_Range","SO4 checks perc diff out of range",89.6443018335684,"Within_Range","",5.7424741335,"2025-08-18","All std 1's and one std 2 were lower than the expected concentration. 
  The 5th dup had a high CV for Cl
  One sample ID is missing from metadata: TMP_FW_D5_20240617_15CM 
  ",NA
